Symbol,Tag_Id
BTC,78
BTC,91
BTC,99
ETH,90
ETH,104
ETH,50
USDT,87
USDT,108
USDT,9
BNB,73
BNB,23
BNB,87
XRP,75
XRP,46
XRP,7
USDC,75
USDC,108
USDC,9
ADA,36
ADA,90
ADA,88
DOGE,78
DOGE,91
DOGE,101
SOL,90
SOL,88
SOL,105
TRX,74
TRX,87
TRX,113
DOT,112
DOT,92
DOT,14
DAI,39
DAI,108
DAI,9
MATIC,90
MATIC,88
MATIC,46
TON,90
TON,37
TON,117
LTC,78
LTC,91
LTC,101
SHIB,76
SHIB,50
SHIB,44
WBTC,75
WBTC,39
WBTC,121
BCH,78
BCH,91
BCH,99
LEO,73
LEO,23
LEO,42
AVAX,39
AVAX,104
AVAX,115
XLM,75
XLM,46
XLM,40
LINK,88
LINK,39
LINK,85
BUSD,108
BUSD,9
BUSD,14
TUSD,111
TUSD,108
TUSD,9
UNI,40
UNI,39
UNI,32
XMR,78
XMR,91
XMR,75
OKB,73
OKB,23
OKB,42
ATOM,88
ATOM,30
ATOM,29
ETC,78
ETC,91
ETC,49
HBAR,31
HBAR,73
HBAR,46
ICP,88
ICP,43
ICP,27
FIL,78
FIL,43
FIL,53
MNT,50
MNT,68
MNT,37
LDO,39
LDO,32
LDO,115
CRO,75
CRO,30
CRO,23
APT,15
APT,5
APT,24
QNT,88
QNT,62
ARB,100
ARB,32
ARB,33
VET,70
VET,38
VET,63
NEAR,88
NEAR,109
NEAR,25
OP,68
OP,84
MKR,111
MKR,39
MKR,32
AAVE,39
AAVE,32
AAVE,125
GRT,1
GRT,46
GRT,39
ALGO,90
ALGO,88
ALGO,97
XDC,46
XDC,104
XDC,123
USDD,108
USDD,3
USDD,6
AXS,27
AXS,54
AXS,16
SAND,27
SAND,29
SAND,54
XTZ,90
XTZ,88
XTZ,46
STX,78
STX,88
STX,27
EGLD,16
EGLD,15
EGLD,45
EOS,75
EOS,46
EOS,104
THETA,74
THETA,27
THETA,29
IMX,27
IMX,126
IMX,54
INJ,90
INJ,88
INJ,30
FTM,88
FTM,46
FTM,39
BSV,78
BSV,91
BSV,99
MANA,88
MANA,27
MANA,54
SNX,103
SNX,40
SNX,39
RNDR,8
RNDR,74
RNDR,118
APE,27
APE,29
APE,54
USDP,111
USDP,108
USDP,9
NEO,88
NEO,46
NEO,104
RUNE,30
RUNE,40
RUNE,39
KAVA,30
KAVA,39
KAVA,16
PAXG,12
PAXG,116
XAUt,116
XEC,67
FLOW,88
FLOW,27
FLOW,109
RPL,39
RPL,69
CHZ,107
CHZ,27
CHZ,29
GALA,27
GALA,54
GALA,13
KLAY,88
KLAY,46
KLAY,61
KCS,73
KCS,23
KCS,42
FXS,39
FXS,102
FXS,10
MIOTA,31
MIOTA,75
MIOTA,63
ZEC,78
ZEC,91
ZEC,48
CSPR,46
CSPR,7
CSPR,57
SUI,17
SUI,25
SUI,15
HT,73
HT,23
HT,42
BTT,88
BTT,43
BTT,53
CRV,40
CRV,39
CRV,32
CFX,78
CFX,91
CFX,88
MINA,90
MINA,126
MINA,109
GT,73
GT,23
GT,42
LUNC,30
LUNC,111
LUNC,39
TWT,119
TWT,94
TWT,12
PEPE,76
DYDX,39
DYDX,41
DYDX,126
COMP,39
COMP,32
COMP,125
NEXO,103
NEXO,87
NEXO,22
GMX,41
GMX,35
GMX,10
BONE,76
BONE,44
NFT,8
NFT,27
NFT,113
WOO,23
WOO,115
WOO,52
GUSD,111
GUSD,108
GUSD,9
FLR,37
ASTR,92
ASTR,93
ASTR,83
DASH,78
DASH,59
DASH,122
AKT,30
AKT,1
AKT,43
CAKE,27
CAKE,40
CAKE,39
MX,73
MX,23
MX,42
AR,43
AR,53
AR,110
ZIL,78
ZIL,88
ZIL,87
ROSE,30
ROSE,1
ROSE,27
GNO,103
GNO,40
GNO,39
BAT,72
BAT,29
BAT,39
SFP,119
SFP,16
SFP,61
1INCH,40
1INCH,39
1INCH,119
SEI,25
SEI,80
SEI,67
XCH,nan
LRC,73
LRC,40
LRC,39
ENJ,74
ENJ,27
ENJ,54
HNT,78
HNT,46
HNT,43
QTUM,88
QTUM,104
QTUM,64
ENS,32
ENS,55
ENS,120
XEM,89
XEM,75
XEM,87
BTG,78
BTG,75
BTG,87
AGIX,73
AGIX,1
AGIX,87
CVX,39
CVX,124
MASK,28
MASK,27
MASK,29
CELO,90
CELO,126
CELO,79
TFUEL,74
TFUEL,29
TFUEL,39
DCR,78
DCR,59
DCR,11
ANKR,88
ANKR,30
ANKR,46
RVN,78
RVN,91
RVN,88
OSMO,30
OSMO,61
OCEAN,88
OCEAN,1
OCEAN,39
YFI,39
YFI,32
YFI,125
LPT,26
LPT,34
LPT,86
HOT,88
HOT,43
HOT,53
JST,39
JST,113
GMT,27
GMT,54
GMT,13
BAL,40
BAL,39
BAL,32
ELF,73
ELF,46
ELF,7
FET,30
FET,1
FET,27
BLUR,27
WAVES,65
WAVES,88
WAVES,104
GLM,88
GLM,43
GLM,87
ANT,88
ANT,46
ANT,32
AUDIO,82
AUDIO,32
AUDIO,25
JASMY,63
JASMY,50
JASMY,37
FLOKI,54
FLOKI,76
FLOKI,77
T,18
ICX,88
ICX,46
ICX,62
KSM,112
KSM,93
KSM,21
SC,78
SC,91
SC,20
WLD,95
WLD,126
WLD,60
SXP,75
SXP,39
SXP,87
LUNA,4
ILV,27
ILV,54
ILV,32
HIVE,36
HIVE,74
HIVE,29
ZRX,88
ZRX,40
ZRX,39
ETHW,91
ONT,46
ONT,60
ONT,77
SSV,nan
GLMR,104
GLMR,112
GLMR,92
IOST,56
IOST,63
IOST,58
BAND,30
BAND,39
BAND,85
BICO,88
BICO,62
BICO,25
ONE,88
ONE,46
ONE,100
WAXP,74
WAXP,27
WAXP,54
SUSHI,27
SUSHI,40
SUSHI,39
AXL,62
AXL,50
AXL,25
IOTX,88
IOTX,63
IOTX,57
MAGIC,54
MAGIC,77
MAGIC,6
MC,54
MC,17
MC,55
USTC,30
USTC,108
USTC,3
KDA,78
KDA,91
KDA,19
UNIBOT,50
UNIBOT,114
BORA,73
BORA,54
CKB,78
CKB,91
CKB,88
DGB,78
DGB,91
DGB,81
STG,50
STG,10
STG,94
DAO,39
DAO,55
DAO,66
MOB,95
MOB,87
MOB,7
RBN,41
RBN,25
RBN,96
CORE,nan
SKL,88
SKL,100
SKL,104
FLUX,78
FLUX,91
FLUX,43
UMA,39
UMA,41
UMA,85
ZEN,78
ZEN,91
ZEN,75
GAL,17
GAL,71
GAL,106
RSR,111
RSR,39
RSR,25
TOMO,88
TOMO,2
TOMO,61
EVER,51
STPT,39
STPT,87
LSK,36
LSK,88
LSK,46
XNO,31
XNO,20
XNO,75
STORJ,88
STORJ,43
STORJ,53
ACH,37
KNC,73
KNC,40
KNC,39
CTSI,90
CTSI,88
CTSI,30
CELR,88
CELR,46
CELR,126
PLA,54
PLA,50
PLA,77
PUNDIX,nan
PYR,27
PYR,54
PYR,47
SNT,74
SNT,29
SNT,95
AMP,98
AMP,4
