,Rank,Name,Symbol,MainLink,HistoricalLink,Git_hub,Tags
0,1,Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,https://coinmarketcap.com/currencies/bitcoin/historical-data/,https://github.com/bitcoin/bitcoin,"Mineable,PoW,SHA-256"
1,2,Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,https://coinmarketcap.com/currencies/ethereum/historical-data/,https://github.com/ethereum/go-ethereum,"PoS,Smart Contracts,Ethereum Ecosystem"
2,3,Tether USDt,USDT,https://coinmarketcap.com/currencies/tether/,https://coinmarketcap.com/currencies/tether/historical-data/,,"Payments,Stablecoin,Asset-Backed Stablecoin"
3,4,BNB,BNB,https://coinmarketcap.com/currencies/bnb/,https://coinmarketcap.com/currencies/bnb/historical-data/,https://github.com/bnb-chain,"Marketplace,Centralized Exchange (CEX) Token,Payments"
4,5,XRP,XRP,https://coinmarketcap.com/currencies/xrp/,https://coinmarketcap.com/currencies/xrp/historical-data/,https://github.com/ripple/rippled,"Medium of Exchange,Enterprise Solutions,Arrington XRP Capital Portfolio"
5,6,USD Coin,USDC,https://coinmarketcap.com/currencies/usd-coin/,https://coinmarketcap.com/currencies/usd-coin/historical-data/,https://github.com/centrehq/centre-tokens,"Medium of Exchange,Stablecoin,Asset-Backed Stablecoin"
6,7,Cardano,ADA,https://coinmarketcap.com/currencies/cardano/,https://coinmarketcap.com/currencies/cardano/historical-data/,https://cardanoupdates.com/,"DPoS,PoS,Platform"
7,8,Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,https://coinmarketcap.com/currencies/dogecoin/historical-data/,https://github.com/dogecoin/dogecoin,"Mineable,PoW,Scrypt"
8,9,Solana,SOL,https://coinmarketcap.com/currencies/solana/,https://coinmarketcap.com/currencies/solana/historical-data/,https://github.com/solana-labs,"PoS,Platform,Solana Ecosystem"
9,10,TRON,TRX,https://coinmarketcap.com/currencies/tron/,https://coinmarketcap.com/currencies/tron/historical-data/,https://github.com/tronprotocol/java-tron,"Media,Payments,TRON Ecosystem"
10,11,Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/,https://coinmarketcap.com/currencies/polkadot-new/historical-data/,https://github.com/paritytech/polkadot,"Substrate,Polkadot,Binance Chain"
11,12,Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,https://coinmarketcap.com/currencies/multi-collateral-dai/historical-data/,,"DeFi,Stablecoin,Asset-Backed Stablecoin"
12,13,Polygon,MATIC,https://coinmarketcap.com/currencies/polygon/,https://coinmarketcap.com/currencies/polygon/historical-data/,https://github.com/maticnetwork/contracts,"PoS,Platform,Enterprise Solutions"
13,14,Toncoin,TON,https://coinmarketcap.com/currencies/toncoin/,https://coinmarketcap.com/currencies/toncoin/historical-data/,https://github.com/ton-blockchain,"PoS,DWF Labs Portfolio,Toncoin Ecosystem"
14,15,Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,https://coinmarketcap.com/currencies/litecoin/historical-data/,https://github.com/litecoin-project/litecoin,"Mineable,PoW,Scrypt"
15,16,Shiba Inu,SHIB,https://coinmarketcap.com/currencies/shiba-inu/,https://coinmarketcap.com/currencies/shiba-inu/historical-data/,,"Memes,Ethereum Ecosystem,Doggone Doggerel"
16,17,Wrapped Bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,https://coinmarketcap.com/currencies/wrapped-bitcoin/historical-data/,https://github.com/WrappedBTC/bitcoin-token-smart-contracts,"Medium of Exchange,DeFi,Wrapped Tokens"
17,18,Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,https://coinmarketcap.com/currencies/bitcoin-cash/historical-data/,https://gitlab.com/bitcoin-cash-node/,"Mineable,PoW,SHA-256"
18,19,UNUS SED LEO,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,https://coinmarketcap.com/currencies/unus-sed-leo/historical-data/,,"Marketplace,Centralized Exchange (CEX) Token,Discount Token"
19,20,Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/,https://coinmarketcap.com/currencies/avalanche/historical-data/,https://github.com/ava-labs/avalanchego,"DeFi,Smart Contracts,Three Arrows Capital Portfolio"
20,21,Stellar,XLM,https://coinmarketcap.com/currencies/stellar/,https://coinmarketcap.com/currencies/stellar/historical-data/,https://github.com/stellar/stellar-core,"Medium of Exchange,Enterprise Solutions,Decentralized Exchange (DEX) Token"
21,22,Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,https://coinmarketcap.com/currencies/chainlink/historical-data/,https://github.com/smartcontractkit/chainlink,"Platform,DeFi,Oracles"
22,23,Binance USD,BUSD,https://coinmarketcap.com/currencies/binance-usd/,https://coinmarketcap.com/currencies/binance-usd/historical-data/,https://github.com/paxosglobal/busd-contract,"Stablecoin,Asset-Backed Stablecoin,Binance Chain"
23,24,TrueUSD,TUSD,https://coinmarketcap.com/currencies/trueusd/,https://coinmarketcap.com/currencies/trueusd/historical-data/,https://github.com/trusttoken/smart-contracts,"Store Of Value,Stablecoin,Asset-Backed Stablecoin"
24,25,Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/,https://coinmarketcap.com/currencies/uniswap/historical-data/,,"Decentralized Exchange (DEX) Token,DeFi,DAO"
25,26,Monero,XMR,https://coinmarketcap.com/currencies/monero/,https://coinmarketcap.com/currencies/monero/historical-data/,https://github.com/monero-project/monero,"Mineable,PoW,Medium of Exchange"
26,27,OKB,OKB,https://coinmarketcap.com/currencies/okb/,https://coinmarketcap.com/currencies/okb/historical-data/,,"Marketplace,Centralized Exchange (CEX) Token,Discount Token"
27,28,Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/,https://coinmarketcap.com/currencies/cosmos/historical-data/,https://github.com/cosmos,"Platform,Cosmos Ecosystem,Content Creation"
28,29,Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/,https://coinmarketcap.com/currencies/ethereum-classic/historical-data/,https://github.com/ethereumclassic/ethereumclassic.github.io,"Mineable,PoW,Ethash"
29,30,Hedera,HBAR,https://coinmarketcap.com/currencies/hedera/,https://coinmarketcap.com/currencies/hedera/historical-data/,https://github.com/hashgraph,"DAG,Marketplace,Enterprise Solutions"
30,31,Internet Computer,ICP,https://coinmarketcap.com/currencies/internet-computer/,https://coinmarketcap.com/currencies/internet-computer/historical-data/,https://github.com/dfinity/ic,"Platform,Distributed Computing,Collectibles & NFTs"
31,32,Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/,https://coinmarketcap.com/currencies/filecoin/historical-data/,https://github.com/filecoin-project/,"Mineable,Distributed Computing,Filesharing"
32,33,Mantle,MNT,https://coinmarketcap.com/currencies/mantle/,https://coinmarketcap.com/currencies/mantle/historical-data/,https://github.com/mantlenetworkio,"Ethereum Ecosystem,Layer 2,DWF Labs Portfolio"
33,34,Lido DAO,LDO,https://coinmarketcap.com/currencies/lido-dao/,https://coinmarketcap.com/currencies/lido-dao/historical-data/,https://github.com/lidofinance,"DeFi,DAO,Three Arrows Capital Portfolio"
34,35,Cronos,CRO,https://coinmarketcap.com/currencies/cronos/,https://coinmarketcap.com/currencies/cronos/historical-data/,https://github.com/crypto-org-chain/chain-main,"Medium of Exchange,Cosmos Ecosystem,Centralized Exchange (CEX) Token"
35,36,Aptos,APT,https://coinmarketcap.com/currencies/aptos/,https://coinmarketcap.com/currencies/aptos/historical-data/,,"Binance Labs Portfolio,Aptos Ecosystem,Circle Ventures Portfolio"
36,37,Quant,QNT,https://coinmarketcap.com/currencies/quant/,https://coinmarketcap.com/currencies/quant/historical-data/,https://github.com/quantnetwork/,"Platform,Interoperability"
37,38,Arbitrum,ARB,https://coinmarketcap.com/currencies/arbitrum/,https://coinmarketcap.com/currencies/arbitrum/historical-data/,,"Scaling,DAO,DApp"
38,39,VeChain,VET,https://coinmarketcap.com/currencies/vechain/,https://coinmarketcap.com/currencies/vechain/historical-data/,https://github.com/vechain,"Logistics,Data Provenance,IoT"
39,40,NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/,https://coinmarketcap.com/currencies/near-protocol/historical-data/,https://github.com/nearprotocol/nearcore,"Platform,Staking,Coinbase Ventures Portfolio"
40,41,Optimism,OP,https://coinmarketcap.com/currencies/optimism-ethereum/,https://coinmarketcap.com/currencies/optimism-ethereum/historical-data/,https://github.com/ethereum-optimism/,"Layer 2,Optimism Ecosystem"
41,42,Maker,MKR,https://coinmarketcap.com/currencies/maker/,https://coinmarketcap.com/currencies/maker/historical-data/,https://github.com/makerdao,"Store Of Value,DeFi,DAO"
42,43,Aave,AAVE,https://coinmarketcap.com/currencies/aave/,https://coinmarketcap.com/currencies/aave/historical-data/,https://github.com/aave,"DeFi,DAO,Yield Farming"
43,44,The Graph,GRT,https://coinmarketcap.com/currencies/the-graph/,https://coinmarketcap.com/currencies/the-graph/historical-data/,https://github.com/graphprotocol,"AI & Big Data,Enterprise Solutions,DeFi"
44,45,Algorand,ALGO,https://coinmarketcap.com/currencies/algorand/,https://coinmarketcap.com/currencies/algorand/historical-data/,https://github.com/algorand/go-algorand,"PoS,Platform,Research"
45,46,XDC Network,XDC,https://coinmarketcap.com/currencies/xdc-network/,https://coinmarketcap.com/currencies/xdc-network/historical-data/,https://github.com/xinfinorg,"Enterprise Solutions,Smart Contracts,XDC Ecosystem"
46,47,USDD,USDD,https://coinmarketcap.com/currencies/usdd/,https://coinmarketcap.com/currencies/usdd/historical-data/,https://tronscan.org/#/contract/TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn/code,"Stablecoin,Algorithmic Stablecoin,Arbitrum Ecosystem"
47,48,Axie Infinity,AXS,https://coinmarketcap.com/currencies/axie-infinity/,https://coinmarketcap.com/currencies/axie-infinity/historical-data/,,"Collectibles & NFTs,Gaming,Binance Launchpad"
48,49,The Sandbox,SAND,https://coinmarketcap.com/currencies/the-sandbox/,https://coinmarketcap.com/currencies/the-sandbox/historical-data/,,"Collectibles & NFTs,Content Creation,Gaming"
49,50,Tezos,XTZ,https://coinmarketcap.com/currencies/tezos/,https://coinmarketcap.com/currencies/tezos/historical-data/,https://gitlab.com/tezos/tezos,"PoS,Platform,Enterprise Solutions"
50,51,Stacks,STX,https://coinmarketcap.com/currencies/stacks/,https://coinmarketcap.com/currencies/stacks/historical-data/,https://github.com/stacks-network,"Mineable,Platform,Collectibles & NFTs"
51,52,MultiversX,EGLD,https://coinmarketcap.com/currencies/multiversx-egld/,https://coinmarketcap.com/currencies/multiversx-egld/historical-data/,https://github.com/multiversx,"Binance Launchpad,Binance Labs Portfolio,Electric Capital Portfolio"
52,53,EOS,EOS,https://coinmarketcap.com/currencies/eos/,https://coinmarketcap.com/currencies/eos/historical-data/,https://github.com/AntelopeIO/leap,"Medium of Exchange,Enterprise Solutions,Smart Contracts"
53,54,Theta Network,THETA,https://coinmarketcap.com/currencies/theta-network/,https://coinmarketcap.com/currencies/theta-network/historical-data/,https://github.com/thetatoken,"Media,Collectibles & NFTs,Content Creation"
54,55,Immutable,IMX,https://coinmarketcap.com/currencies/immutable-x/,https://coinmarketcap.com/currencies/immutable-x/historical-data/,,"Collectibles & NFTs,Zero Knowledge Proofs,Gaming"
55,56,Injective,INJ,https://coinmarketcap.com/currencies/injective/,https://coinmarketcap.com/currencies/injective/historical-data/,https://github.com/InjectiveLabs,"PoS,Platform,Cosmos Ecosystem"
56,57,Fantom,FTM,https://coinmarketcap.com/currencies/fantom/,https://coinmarketcap.com/currencies/fantom/historical-data/,https://github.com/Fantom-Foundation,"Platform,Enterprise Solutions,DeFi"
57,58,Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/,https://coinmarketcap.com/currencies/bitcoin-sv/historical-data/,https://github.com/bitcoin-sv/bitcoin-sv,"Mineable,PoW,SHA-256"
58,59,Decentraland,MANA,https://coinmarketcap.com/currencies/decentraland/,https://coinmarketcap.com/currencies/decentraland/historical-data/,https://github.com/decentraland/mana,"Platform,Collectibles & NFTs,Gaming"
59,60,Synthetix,SNX,https://coinmarketcap.com/currencies/synthetix/,https://coinmarketcap.com/currencies/synthetix/historical-data/,,"Services,Decentralized Exchange (DEX) Token,DeFi"
60,61,Render,RNDR,https://coinmarketcap.com/currencies/render/,https://coinmarketcap.com/currencies/render/historical-data/,,"Art,Media,VR/AR"
61,62,ApeCoin,APE,https://coinmarketcap.com/currencies/apecoin-ape/,https://coinmarketcap.com/currencies/apecoin-ape/historical-data/,,"Collectibles & NFTs,Content Creation,Gaming"
62,63,Pax Dollar,USDP,https://coinmarketcap.com/currencies/paxos-standard/,https://coinmarketcap.com/currencies/paxos-standard/historical-data/,https://github.com/paxosglobal/pax-contracts,"Store Of Value,Stablecoin,Asset-Backed Stablecoin"
63,64,Neo,NEO,https://coinmarketcap.com/currencies/neo/,https://coinmarketcap.com/currencies/neo/historical-data/,https://github.com/neo-project/neo,"Platform,Enterprise Solutions,Smart Contracts"
64,65,THORChain,RUNE,https://coinmarketcap.com/currencies/thorchain/,https://coinmarketcap.com/currencies/thorchain/historical-data/,https://github.com/thorchain,"Cosmos Ecosystem,Decentralized Exchange (DEX) Token,DeFi"
65,66,Kava,KAVA,https://coinmarketcap.com/currencies/kava/,https://coinmarketcap.com/currencies/kava/historical-data/,https://github.com/kava-labs,"Cosmos Ecosystem,DeFi,Binance Launchpad"
66,67,PAX Gold,PAXG,https://coinmarketcap.com/currencies/pax-gold/,https://coinmarketcap.com/currencies/pax-gold/historical-data/,https://github.com/paxosglobal/paxos-gold-contract,"BNB Chain,Tokenized Gold"
67,68,Tether Gold,XAUt,https://coinmarketcap.com/currencies/tether-gold/,https://coinmarketcap.com/currencies/tether-gold/historical-data/,,Tokenized Gold
68,69,eCash,XEC,https://coinmarketcap.com/currencies/ecash/,https://coinmarketcap.com/currencies/ecash/historical-data/,https://github.com/bitcoin-abc,Layer 1
69,70,Flow,FLOW,https://coinmarketcap.com/currencies/flow/,https://coinmarketcap.com/currencies/flow/historical-data/,https://github.com/onflow,"Platform,Collectibles & NFTs,Staking"
70,71,Rocket Pool,RPL,https://coinmarketcap.com/currencies/rocket-pool/,https://coinmarketcap.com/currencies/rocket-pool/historical-data/,https://github.com/rocket-pool/rocketpool,"DeFi,Liquid Staking Derivatives"
71,72,Chiliz,CHZ,https://coinmarketcap.com/currencies/chiliz/,https://coinmarketcap.com/currencies/chiliz/historical-data/,,"Sports,Collectibles & NFTs,Content Creation"
72,73,Gala,GALA,https://coinmarketcap.com/currencies/gala/,https://coinmarketcap.com/currencies/gala/historical-data/,,"Collectibles & NFTs,Gaming,BNB Smart Chain"
73,74,Klaytn,KLAY,https://coinmarketcap.com/currencies/klaytn/,https://coinmarketcap.com/currencies/klaytn/historical-data/,https://github.com/klaytn/klaytn,"Platform,Enterprise Solutions,Injective Ecosystem"
74,75,KuCoin Token,KCS,https://coinmarketcap.com/currencies/kucoin-token/,https://coinmarketcap.com/currencies/kucoin-token/historical-data/,,"Marketplace,Centralized Exchange (CEX) Token,Discount Token"
75,76,Frax Share,FXS,https://coinmarketcap.com/currencies/frax-share/,https://coinmarketcap.com/currencies/frax-share/historical-data/,https://github.com/fraxfinance,"DeFi,Seigniorage,Avalanche Ecosystem"
76,77,IOTA,MIOTA,https://coinmarketcap.com/currencies/iota/,https://coinmarketcap.com/currencies/iota/historical-data/,https://github.com/iotaledger,"DAG,Medium of Exchange,IoT"
77,78,Zcash,ZEC,https://coinmarketcap.com/currencies/zcash/,https://coinmarketcap.com/currencies/zcash/historical-data/,https://github.com/zcash/zcash,"Mineable,PoW,Equihash"
78,79,Casper,CSPR,https://coinmarketcap.com/currencies/casper/,https://coinmarketcap.com/currencies/casper/historical-data/,https://github.com/casper-network/,"Enterprise Solutions,Arrington XRP Capital Portfolio,Hashkey Capital Portfolio"
79,80,Sui,SUI,https://coinmarketcap.com/currencies/sui/,https://coinmarketcap.com/currencies/sui/historical-data/,https://github.com/MystenLabs,"Binance Launchpool,Coinbase Ventures Portfolio,Binance Labs Portfolio"
80,81,Huobi Token,HT,https://coinmarketcap.com/currencies/huobi-token/,https://coinmarketcap.com/currencies/huobi-token/historical-data/,,"Marketplace,Centralized Exchange (CEX) Token,Discount Token"
81,82,BitTorrent(New),BTT,https://coinmarketcap.com/currencies/bittorrent-new/,https://coinmarketcap.com/currencies/bittorrent-new/historical-data/,https://github.com/bittorrent,"Platform,Distributed Computing,Filesharing"
82,83,Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/,https://coinmarketcap.com/currencies/curve-dao-token/historical-data/,https://github.com/curvefi/curve-contract,"Decentralized Exchange (DEX) Token,DeFi,DAO"
83,84,Conflux,CFX,https://coinmarketcap.com/currencies/conflux-network/,https://coinmarketcap.com/currencies/conflux-network/historical-data/,https://github.com/Conflux-Chain,"Mineable,PoW,Platform"
84,85,Mina,MINA,https://coinmarketcap.com/currencies/mina/,https://coinmarketcap.com/currencies/mina/historical-data/,https://github.com/MinaProtocol/mina,"PoS,Zero Knowledge Proofs,Staking"
85,86,GateToken,GT,https://coinmarketcap.com/currencies/gatetoken/,https://coinmarketcap.com/currencies/gatetoken/historical-data/,https://github.com/gatechain,"Marketplace,Centralized Exchange (CEX) Token,Discount Token"
86,87,Terra Classic,LUNC,https://coinmarketcap.com/currencies/terra-luna/,https://coinmarketcap.com/currencies/terra-luna/historical-data/,https://github.com/terra-money/core,"Cosmos Ecosystem,Store Of Value,DeFi"
87,88,Trust Wallet Token,TWT,https://coinmarketcap.com/currencies/trust-wallet-token/,https://coinmarketcap.com/currencies/trust-wallet-token/historical-data/,https://github.com/trustwallet,"Wallet,Polygon Ecosystem,BNB Chain"
88,89,Pepe,PEPE,https://coinmarketcap.com/currencies/pepe/,https://coinmarketcap.com/currencies/pepe/historical-data/,,Memes
89,90,dYdX,DYDX,https://coinmarketcap.com/currencies/dydx/,https://coinmarketcap.com/currencies/dydx/historical-data/,https://github.com/dydxfoundation/,"DeFi,Derivatives,Zero Knowledge Proofs"
90,91,Compound,COMP,https://coinmarketcap.com/currencies/compound/,https://coinmarketcap.com/currencies/compound/historical-data/,https://github.com/compound-finance/compound-protocol,"DeFi,DAO,Yield Farming"
91,92,Nexo,NEXO,https://coinmarketcap.com/currencies/nexo/,https://coinmarketcap.com/currencies/nexo/historical-data/,https://github.com/nexofinance/NEXO-Token/,"Services,Payments,Cardano Ecosystem"
92,93,GMX,GMX,https://coinmarketcap.com/currencies/gmx/,https://coinmarketcap.com/currencies/gmx/historical-data/,,"Derivatives,DEX,Avalanche Ecosystem"
93,94,Bone ShibaSwap,BONE,https://coinmarketcap.com/currencies/bone-shibaswap/,https://coinmarketcap.com/currencies/bone-shibaswap/historical-data/,,"Memes,Doggone Doggerel"
94,95,APENFT,NFT,https://coinmarketcap.com/currencies/apenft/,https://coinmarketcap.com/currencies/apenft/historical-data/,,"Art,Collectibles & NFTs,TRON Ecosystem"
95,96,WOO Network,WOO,https://coinmarketcap.com/currencies/wootrade/,https://coinmarketcap.com/currencies/wootrade/historical-data/,,"Centralized Exchange (CEX) Token,Three Arrows Capital Portfolio,Exnetwork Capital Portfolio"
96,97,Gemini Dollar,GUSD,https://coinmarketcap.com/currencies/gemini-dollar/,https://coinmarketcap.com/currencies/gemini-dollar/historical-data/,https://github.com/gemini/dollar,"Store Of Value,Stablecoin,Asset-Backed Stablecoin"
97,98,Flare,FLR,https://coinmarketcap.com/currencies/flare/,https://coinmarketcap.com/currencies/flare/historical-data/,https://github.com/flare-foundation/,DWF Labs Portfolio
98,99,Astar,ASTR,https://coinmarketcap.com/currencies/astar/,https://coinmarketcap.com/currencies/astar/historical-data/,https://github.com/AstarNetwork/Astar,"Polkadot,Polkadot Ecosystem,OKEx Blockdream Ventures Portfolio"
